county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region
PONTOTOC COUNTY,MS,124202,122181,163392,549,604,815,18,15,21,14,22,23,S
PRENTISS COUNTY,MS,86096,87159,111307,374,405,564,15,17,18,7,19,21,S
QUITMAN COUNTY,MS,186297,199767,212667,219,256,323,57,66,73,6,7,6,S
RANKIN COUNTY,MS,118651,130631,142766,538,551,667,21,23,24,26,27,40,S
SCOTT COUNTY,MS,110124,113926,138307,687,688,833,7,10,17,23,31,59,S
SHARKEY COUNTY,MS,181946,177963,210485,125,127,162,61,56,67,1,5,0,S
SIMPSON COUNTY,MS,96540,95132,130119,587,576,771,4,7,14,13,20,24,S
SMITH COUNTY,MS,95121,87046,108292,661,662,773,3,3,4,21,26,39,S
STONE COUNTY,MS,32666,35670,54617,222,221,275,3,4,8,10,3,10,S
SUNFLOWER COUNTY,MS,361003,347487,380345,375,442,446,119,106,154,10,10,6,S
TALLAHATCHIE COUNTY,MS,273117,296270,299833,386,404,472,73,82,99,11,10,12,S
TATE COUNTY,MS,141245,162925,167198,544,560,647,23,37,39,21,22,29,S
TIPPAH COUNTY,MS,108314,99940,118349,551,532,673,12,17,14,9,22,30,S
TISHOMINGO COUNTY,MS,40676,43216,47697,269,298,364,3,2,2,7,8,10,S
TUNICA COUNTY,MS,230524,245244,228731,121,162,171,66,82,79,1,1,2,S
UNION COUNTY,MS,100433,100383,122047,540,579,734,14,14,11,11,24,19,S
WALTHALL COUNTY,MS,108236,110548,145625,563,611,807,8,12,18,17,18,24,S
WARREN COUNTY,MS,114083,106927,132105,193,222,280,35,34,26,9,10,18,S
WASHINGTON COUNTY,MS,342237,355975,370332,344,394,444,129,129,144,7,10,14,S
WAYNE COUNTY,MS,72515,80003,82442,449,470,498,5,4,7,14,15,22,S
WEBSTER COUNTY,MS,75551,78825,87471,270,300,400,13,13,13,8,6,12,S
WILKINSON COUNTY,MS,89807,102668,151434,189,216,267,21,25,35,4,12,16,S
WINSTON COUNTY,MS,83445,100108,122180,486,548,729,5,8,8,9,11,26,S
YALOBUSHA COUNTY,MS,78230,91427,106803,263,299,375,15,14,23,8,12,18,S
YAZOO COUNTY,MS,361634,367496,372369,531,569,605,106,117,119,16,12,19,S
BEAVERHEAD COUNTY,MT,1342484,1525564,1546687,345,373,342,166,182,179,22,42,28,W
BIG HORN COUNTY,MT,3002378,2759309,2701713,485,501,462,245,238,219,21,50,34,W
BLAINE COUNTY,MT,2338866,2433747,2389874,514,529,455,309,321,285,21,49,15,W
BROADWATER COUNTY,MT,449970,458807,496529,205,213,207,86,95,99,8,12,12,W
CARBON COUNTY,MT,598694,536553,628680,599,635,597,128,141,137,23,47,43,W
CARTER COUNTY,MT,1619482,1629533,1696443,308,353,335,242,262,260,12,36,27,W
CASCADE COUNTY,MT,1424228,1461224,1393369,792,805,799,302,314,317,56,60,54,W
CHOUTEAU COUNTY,MT,2277936,2228089,2139961,737,795,742,579,596,546,9,39,27,W
CUSTER COUNTY,MT,2085181,2183542,2324856,380,397,382,167,190,195,23,45,40,W
DANIELS COUNTY,MT,761459,780023,818643,325,381,378,211,242,255,7,11,10,W
DAWSON COUNTY,MT,1334041,1326655,1353774,451,499,499,289,308,310,9,41,32,W
DEER LODGE COUNTY,MT,135126,152109,191546,70,72,62,24,21,21,4,9,2,W
FALLON COUNTY,MT,944497,919615,886147,302,324,285,208,209,203,11,26,15,W
FERGUS COUNTY,MT,2232575,2143210,2090999,804,838,805,481,497,503,32,74,54,W
FLATHEAD COUNTY,MT,277050,258633,285807,813,825,914,38,38,34,69,58,61,W
GA LLATIN COUNTY,MT,699409,731603,774240,789,850,782,129,147,146,65,58,58,W
GA RFIELD COUNTY,MT,2000266,2063133,2095759,263,297,263,208,223,214,7,32,16,W
GLACIER COUNTY,MT,1730537,1646324,1649452,376,405,349,243,234,192,7,22,29,W
GOLDEN VALLEY COUNTY,MT,636514,625754,628983,121,135,153,82,93,97,6,7,10,W
GRANITE COUNTY,MT,349938,348102,340040,138,149,153,74,80,79,6,13,8,W
HILL COUNTY,MT,1644001,1722206,1734585,641,713,675,443,467,443,12,17,18,W
JEFFERSON COUNTY,MT,367482,378805,412398,236,256,252,64,74,78,16,13,20,W
JUDITH BASIN COUNTY,MT,868064,870945,813713,328,351,325,205,222,204,14,29,23,W
LAKE COUNTY,MT,631377,655528,666747,948,1079,1027,81,78,82,131,155,117,W
LEWIS AND CLARK COUNTY,MT,883479,888725,932965,438,480,417,89,108,105,27,43,35,W
LIBERTY COUNTY,MT,951780,934149,907872,274,295,248,223,228,212,5,11,10,W
LINCOLN COUNTY,MT,50220,61387,55391,219,245,264,8,7,6,14,8,14,W
MCCONE COUNTY,MT,1290134,1277022,1285961,415,441,425,285,293,291,8,27,13,W
MADISON COUNTY,MT,1271160,1195898,1196626,418,453,439,179,181,194,13,37,32,W
MEAGHER COUNTY,MT,912154,1012764,989727,134,144,119,91,88,84,7,23,7,W
MINERAL COUNTY,MT,19158,14517,17886,67,58,81,5,3,2,4,2,7,W
MISSOULA COUNTY,MT,248215,253098,250213,450,473,443,35,36,42,57,59,54,W
MUSSELSHELL COUNTY,MT,1031872,1042418,1127940,253,249,258,137,129,142,11,20,11,W
PARK COUNTY,MT,777803,790046,780727,385,404,398,152,164,166,22,38,28,W
PETROLEUM COUNTY,MT,669516,663795,700750,105,111,99,78,83,75,3,9,6,W
PHILLIPS COUNTY,MT,1968857,1938423,1987765,479,492,494,295,296,298,21,30,18,W
PONDERA COUNTY,MT,893872,906847,860472,463,491,486,283,283,270,17,29,39,W
POWDER RIVER COUNTY,MT,1629363,1668688,1654572,295,351,338,216,224,241,6,41,31,W
POWELL COUNTY,MT,675569,670508,742622,233,237,210,99,100,97,13,29,17,W
PRAIRIE COUNTY,MT,683088,704878,715673,165,191,183,109,127,125,1,16,11,W
RAVALLI COUNTY,MT,241655,254761,271754,937,1010,1019,41,48,53,103,109,102,W
RICHLAND COUNTY,MT,1197028,1194869,1083207,563,620,555,273,292,262,31,40,27,W
ROOSEVELT COUNTY,MT,1414415,1364020,1371234,525,598,584,335,353,350,9,20,18,W
ROSEBUD COUNTY,MT,2585834,2908183,3021457,357,363,353,212,194,201,17,45,29,W
SANDERS COUNTY,MT,381104,374629,428497,348,382,379,52,69,72,15,17,20,W
SHERIDAN COUNTY,MT,962450,1024567,1049668,526,600,586,337,362,367,17,24,13,W
SILVER BOW COUNTY,MT,99746,115350,127864,105,114,108,26,32,32,4,5,6,W
STILLWATER COUNTY,MT,889294,842673,863344,446,447,429,192,198,197,25,38,30,W
SWEET GRASS COUNTY,MT,837904,873119,909183,295,308,292,145,162,167,16,20,21,W
TETON COUNTY,MT,1178885,1048553,1101531,556,622,625,271,290,248,21,36,27,W
TOOLE COUNTY,MT,1063086,1131519,1056130,358,393,354,255,287,273,6,20,13,W
TREASURE COUNTY,MT,599014,616145,608477,113,121,107,58,60,61,4,19,15,W
VALLEY COUNTY,MT,1688070,1855880,1777109,624,720,654,360,409,363,20,34,24,W
WHEATLAND COUNTY,MT,850599,823195,843133,146,145,150,96,90,105,8,11,6,W
WIBAUX COUNTY,MT,490988,516382,470510,165,192,184,96,106,109,2,20,7,W
YELLOWSTONE COUNTY,MT,1454669,1397972,1288004,994,1043,1046,225,238,221,91,115,107,W
ALAMANCE COUNTY,NC,101073,99826,114973,725,821,972,4,1,3,33,61,69,S
ALEXANDER COUNTY,NC,52974,57431,59075,507,594,658,4,3,5,61,49,62,S
ALLEGHANY COUNTY,NC,72621,75237,78025,490,514,568,3,4,4,39,42,41,S
ANSON COUNTY,NC,70697,85095,104033,344,316,390,9,14,20,10,17,16,S
ASHE COUNTY,NC,104426,113845,129103,1033,1182,1504,3,6,7,126,139,176,S
AVERY COUNTY,NC,19712,20826,20290,274,280,291,2,1,1,49,38,35,S
BEAUFORT COUNTY,NC,144529,156433,158281,447,630,815,39,37,29,20,37,43,S
BERTIE COUNTY,NC,170006,171926,179717,456,564,724,43,36,33,44,43,71,S
BLADEN COUNTY,NC,127760,130650,148495,607,719,919,22,16,19,47,42,69,S
BRUNSWICK COUNTY,NC,39667,48310,61325,225,313,476,6,5,5,20,34,40,S
BUNCOMBE COUNTY,NC,93584,103876,111649,1097,1200,1529,7,9,4,207,190,288,S
BURKE COUNTY,NC,31671,34833,35776,348,366,409,1,0,1,30,41,45,S
CABARRUS COUNTY,NC,63067,76984,82290,430,488,580,4,7,5,19,25,24,S
CALDWELL COUNTY,NC,31184,35158,43389,329,368,459,1,1,1,22,33,31,S
CAMDEN COUNTY,NC,43056,49683,50425,89,102,131,18,20,18,11,6,13,S
CARTERET COUNTY,NC,64031,65541,67645,113,122,162,4,4,4,23,9,13,S
CASWELL COUNTY,NC,125428,130334,141480,601,707,870,11,12,6,42,64,69,S
CATAWBA COUNTY,NC,62854,67408,81452,507,567,669,5,4,5,27,32,40,S
CHATHAM COUNTY,NC,108363,112674,118488,926,961,1028,5,7,5,61,79,73,S
CHEROKEE COUNTY,NC,23929,27100,30074,220,267,322,2,2,2,18,25,30,S
CHOWAN COUNTY,NC,53902,50446,54749,179,220,259,14,12,8,10,20,26,S
CLAY COUNTY,NC,16405,-99,18809,161,184,224,0,0,0,13,7,18,S
CLEVELAND COUNTY,NC,93970,107269,121856,714,830,933,5,7,10,31,47,51,S
COLUMBUS COUNTY,NC,162634,180427,189566,1109,1334,1690,20,16,13,80,115,114,S
CRAVEN COUNTY,NC,88386,89149,92047,327,406,562,22,20,13,28,33,35,S
CUMBERLAND COUNTY,NC,98531,99997,119053,437,524,642,22,15,22,42,70,86,S
CURRITUCK COUNTY,NC,41750,47369,53909,90,106,143,16,15,15,14,17,9,S
DARE COUNTY,NC,7046,-99,-99,7,4,6,3,2,1,1,1,1,S
DAVIDSON COUNTY,NC,92192,96307,114261,864,1042,1214,4,4,2,47,67,77,S
DAVIE COUNTY,NC,68718,79231,77997,548,623,680,4,10,5,35,37,32,S
DUPLIN COUNTY,NC,248518,234541,248070,1359,1531,1856,33,24,19,151,143,160,S
DURHAM COUNTY,NC,19676,24115,41187,160,234,304,2,3,5,15,27,36,S
EDGECOMBE COUNTY,NC,180400,182498,219242,376,449,615,57,48,50,30,33,40,S
FORSYTH COUNTY,NC,47837,55132,59678,647,735,893,0,1,1,59,70,120,S
FRANKLIN COUNTY,NC,118291,124620,136638,549,666,878,22,19,14,37,43,77,S
GA STON COUNTY,NC,34717,40937,48096,293,336,386,2,2,3,30,29,18,S
GA TES COUNTY,NC,64532,68992,67985,199,251,282,16,15,6,21,27,23,S
GRAHAM COUNTY,NC,8882,7533,10507,147,147,197,0,0,0,39,33,52,S
GRANVILLE COUNTY,NC,156027,160107,172873,724,847,1041,25,17,12,50,79,126,S
GREENE COUNTY,NC,112291,117207,107523,407,510,670,20,9,5,17,27,43,S
GUILFORD COUNTY,NC,113654,126369,135965,970,1141,1354,7,11,7,67,85,91,S
HALIFAX COUNTY,NC,204443,208333,216064,346,428,565,70,61,56,35,31,45,S
HARNETT COUNTY,NC,127663,138906,161126,754,875,1163,20,11,14,53,47,72,S
HAYWOOD COUNTY,NC,69961,79672,81070,812,912,1043,5,6,6,155,166,224,S
HENDERSON COUNTY,NC,52281,59232,61110,511,592,608,5,5,6,72,63,62,S
HERTFORD COUNTY,NC,75496,91744,90637,195,271,349,21,19,17,15,20,27,S
HOKE COUNTY,NC,56693,66292,72459,173,193,209,18,26,18,24,16,16,S
HYDE COUNTY,NC,93728,102420,111641,136,163,189,31,36,25,10,9,9,S
IREDELL COUNTY,NC,148135,161518,163061,1143,1206,1306,14,7,8,93,76,82,S
JACKSON COUNTY,NC,13310,18069,18576,187,234,275,1,1,1,27,19,25,S
JOHNSTON COUNTY,NC,230402,234394,265948,1406,1713,2253,36,18,14,86,135,161,S
JONES COUNTY,NC,68577,72273,73866,195,248,314,19,15,10,9,15,24,S
LEE COUNTY,NC,37434,42636,52614,301,345,457,5,4,4,27,33,39,S
LENOIR COUNTY,NC,141761,146111,141788,531,667,839,31,24,15,49,44,88,S
LINCOLN COUNTY,NC,58384,59491,69404,425,480,560,5,5,4,14,25,23,S
MCDOWELL COUNTY,NC,21218,23198,24374,194,232,274,1,0,1,9,10,16,S
MACON COUNTY,NC,22089,25753,29769,290,318,429,0,0,0,30,20,56,S
MADISON COUNTY,NC,93320,101408,106550,1178,1305,1481,2,2,2,180,168,220,S
MARTIN COUNTY,NC,131767,140110,145269,487,591,728,23,22,17,27,30,48,S
MECKLENBURG COUNTY,NC,27901,35929,46084,280,348,429,1,1,2,28,39,45,S
MITCHELL COUNTY,NC,23007,25625,28599,322,351,454,1,0,1,67,59,87,S
MONTGOMERY COUNTY,NC,36975,41972,49547,236,241,288,5,6,8,20,20,20,S
MOORE COUNTY,NC,86982,84109,97688,701,759,861,5,6,2,62,76,75,S
NASH COUNTY,NC,179051,184304,214759,560,692,997,44,41,38,62,66,72,S
NEW HANOVER COUNTY,NC,3486,8858,12473,68,65,80,1,1,2,25,23,28,S
NORTHAMPTON COUNTY,NC,155213,169414,169231,381,452,513,46,46,41,27,34,38,S
ONSLOW COUNTY,NC,63992,68890,75804,425,436,578,7,5,6,42,40,43,S
ORANGE COUNTY,NC,67491,81108,90575,433,522,599,6,6,4,27,31,45,S
PAMLICO COUNTY,NC,44000,38270,44045,82,86,136,14,13,11,2,5,8,S
PASQUOTANK COUNTY,NC,83218,81626,73766,199,225,253,26,20,15,14,9,15,S
PENDER COUNTY,NC,65136,70240,92020,331,393,514,11,8,12,36,35,35,S
PERQUIMANS COUNTY,NC,68736,75808,86376,226,272,343,19,11,9,23,25,21,S
PERSON COUNTY,NC,115854,117441,128537,476,555,753,18,17,15,43,47,90,S
PITT COUNTY,NC,194015,213831,233934,583,757,1070,41,35,29,35,50,51,S
POLK COUNTY,NC,23140,26073,27388,161,192,211,2,3,2,7,3,7,S
RANDOLPH COUNTY,NC,144858,154350,163951,1293,1350,1527,2,4,6,96,100,127,S
RICHMOND COUNTY,NC,51916,54858,57187,222,214,273,8,6,8,13,13,20,S
ROBESON COUNTY,NC,292152,305481,310710,1193,1476,1943,64,50,44,74,113,152,S
ROCKINGHAM COUNTY,NC,130879,137426,148090,902,1056,1286,16,8,11,70,111,168,S
ROWAN COUNTY,NC,104874,107542,127821,751,823,956,8,6,10,33,45,31,S
RUTHERFORD COUNTY,NC,55309,58090,67485,464,503,612,0,0,2,11,15,19,S
SAMPSON COUNTY,NC,266067,263626,263007,1342,1477,1818,52,31,19,103,102,151,S
SCOTLAND COUNTY,NC,53690,60004,89466,125,123,142,16,19,21,9,6,9,S
STANLY COUNTY,NC,89063,96868,115700,550,572,689,13,18,17,38,26,28,S
STOKES COUNTY,NC,104733,102204,121385,1075,1153,1569,3,5,4,107,146,299,S
SURRY COUNTY,NC,121404,133218,144965,1269,1314,1605,6,9,4,109,108,165,S
SWAIN COUNTY,NC,5897,7258,-99,80,79,89,0,0,1,11,10,5,S
TRANSYLVANIA COUNTY,NC,12388,14315,17730,175,196,204,0,0,0,14,22,21,S
TYRRELL COUNTY,NC,67698,61980,68370,96,120,141,21,16,18,3,5,8,S
UNION COUNTY,NC,167379,170378,202639,1037,1086,1263,30,31,32,72,93,79,S
VANCE COUNTY,NC,67716,71442,72558,289,352,502,9,10,8,11,26,62,S
WAKE COUNTY,NC,119855,128571,160862,833,1003,1291,8,6,10,85,107,115,S
WARREN COUNTY,NC,87478,86459,92821,325,336,470,13,13,12,20,23,41,S
WASHINGTON COUNTY,NC,102944,115474,127365,228,269,347,30,35,26,20,23,37,S
WATAUGA COUNTY,NC,46726,54157,55420,673,747,885,3,2,1,139,128,182,S
WAYNE COUNTY,NC,179554,186285,198852,902,1076,1350,26,19,16,89,122,111,S
WILKES COUNTY,NC,115106,112013,127953,1139,1204,1332,7,10,11,102,143,124,S
WILSON COUNTY,NC,142312,144820,143496,489,666,910,28,25,8,28,40,47,S
YADKIN COUNTY,NC,103773,106305,115962,968,1045,1301,9,6,6,73,66,95,S
YANCEY COUNTY,NC,38394,41310,54907,671,724,861,1,1,2,160,155,186,S
ADAMS COUNTY,ND,594587,626589,587283,353,410,371,213,235,214,11,17,10,NC
BARNES COUNTY,ND,858267,859442,903751,839,917,1015,354,330,327,30,41,34,NC
BENSON COUNTY,ND,777675,816265,823297,635,717,760,305,321,312,8,7,17,NC
BILLINGS COUNTY,ND,818893,799317,745982,242,267,257,130,141,137,11,15,15,NC
BOTTINEAU COUNTY,ND,950031,1001689,971386,798,929,967,360,396,373,9,15,27,NC
BOWMAN COUNTY,ND,677945,721022,709756,343,390,377,199,222,219,15,13,29,NC
BURKE COUNTY,ND,559385,609823,641142,462,525,580,232,247,256,8,7,18,NC
BURLEIGH COUNTY,ND,877382,882737,871910,795,803,792,300,320,316,24,20,42,NC
CASS COUNTY,ND,1070528,1058821,1059212,1004,1183,1276,442,426,399,29,35,61,NC
CAVALIER COUNTY,ND,855458,917214,872448,743,922,971,344,382,330,16,6,8,NC
DICKEY COUNTY,ND,627774,626498,615787,552,597,611,232,220,224,16,12,25,NC
DIVIDE COUNTY,ND,725974,735412,737409,527,599,612,305,321,312,4,13,18,NC
DUNN COUNTY,ND,1352738,1358843,1397141,650,733,697,358,368,361,19,13,34,NC
EDDY COUNTY,ND,369140,351794,376487,312,326,345,153,138,145,7,9,16,NC
EMMONS COUNTY,ND,834293,866121,813645,759,868,849,352,355,328,15,6,24,NC
FOSTER COUNTY,ND,366292,394093,385672,297,377,345,155,158,156,5,6,9,NC
GOLDEN VALLEY COUNTY,ND,505461,532249,551109,219,261,288,128,145,162,2,6,4,NC
GRAND FORKS COUNTY,ND,769225,807630,854620,751,893,957,289,312,320,19,15,30,NC
GRANT COUNTY,ND,1019300,1020104,925911,598,688,685,351,375,361,16,11,21,NC
GRIGGS COUNTY,ND,396154,420897,420818,382,444,457,156,172,163,9,10,8,NC
HETTINGER COUNTY,ND,688468,724825,768099,427,525,502,275,301,295,14,14,14,NC
KIDDER COUNTY,ND,723816,758474,722460,499,557,566,273,323,301,3,11,20,NC
LA MOURE COUNTY,ND,669049,647960,692955,679,738,765,262,238,261,22,12,13,NC
LOGAN COUNTY,ND,598832,596505,569705,472,531,536,254,257,235,10,14,15,NC
MCHENRY COUNTY,ND,1048701,1047851,1076765,889,964,974,389,398,417,18,25,27,NC
MCINTOSH COUNTY,ND,544767,567589,561673,483,556,595,239,251,236,11,7,22,NC
MCKENZIE COUNTY,ND,1165695,1122980,1171558,741,752,778,353,347,382,24,32,27,NC
MCLEAN COUNTY,ND,1128346,1151335,1163284,926,1058,1149,449,484,481,11,16,44,NC
MERCER COUNTY,ND,531643,557568,563772,527,575,542,172,189,197,30,21,23,NC
MORTON COUNTY,ND,1233663,1227024,1115087,923,988,956,428,443,426,38,54,67,NC
MOUNTRAIL COUNTY,ND,1000679,1049039,1010298,745,873,881,367,407,421,12,12,16,NC
NELSON COUNTY,ND,552707,599153,608158,482,564,632,219,236,235,17,7,17,NC
OLIVER COUNTY,ND,384213,386090,375488,326,367,349,138,148,138,3,17,10,NC
PEMBINA COUNTY,ND,600845,639856,673503,624,763,841,233,232,209,12,14,14,NC
PIERCE COUNTY,ND,586244,592859,600329,501,578,589,252,254,258,14,4,12,NC
RAMSEY COUNTY,ND,639709,723306,749000,511,633,690,252,300,302,10,19,19,NC
RANSOM COUNTY,ND,485012,487285,486957,451,498,521,155,166,137,18,12,14,NC
RENVILLE COUNTY,ND,503575,504536,508784,396,454,480,212,203,198,2,11,8,NC
RICHLAND COUNTY,ND,799606,859643,885755,956,1126,1207,289,291,272,45,42,47,NC
ROLETTE COUNTY,ND,522536,506483,482891,486,536,550,189,188,167,18,13,19,NC
SARGENT COUNTY,ND,495509,477968,514487,481,541,590,197,181,176,14,13,12,NC
SHERIDAN COUNTY,ND,521343,522862,520525,419,470,495,227,228,238,7,11,13,NC
SIOUX COUNTY,ND,745815,807715,759586,200,229,219,132,162,159,3,2,2,NC
SLOPE COUNTY,ND,785713,808789,762870,270,299,295,185,191,195,2,10,9,NC
STARK COUNTY,ND,841736,804222,804528,788,822,769,302,311,305,34,36,35,NC
STEELE COUNTY,ND,439846,445448,453672,335,396,440,196,211,184,6,7,7,NC
STUTSMAN COUNTY,ND,1269572,1300508,1327295,988,1113,1134,464,495,470,26,51,34,NC
TOWNER COUNTY,ND,591185,630640,601223,462,557,552,271,296,268,8,11,10,NC
TRAILL COUNTY,ND,501057,508127,518240,517,603,685,221,202,180,12,14,11,NC
WALSH COUNTY,ND,737273,758987,766449,780,928,975,279,284,263,19,12,16,NC
WARD COUNTY,ND,1160916,1187041,1202773,1107,1215,1256,453,448,469,30,48,37,NC
WELLS COUNTY,ND,750913,737703,761698,638,683,735,315,304,312,8,13,19,NC
WILLIAMS COUNTY,ND,1182658,1189938,1161372,833,948,971,430,454,457,11,14,18,NC
ADAMS COUNTY,NE,335465,366589,350184,657,780,747,90,82,72,41,62,50,NC
ANTELOPE COUNTY,NE,489384,508511,503241,891,1009,1042,138,128,115,64,83,71,NC
ARTHUR COUNTY,NE,460156,417924,417111,93,90,81,60,51,56,8,19,8,NC
BANNER COUNTY,NE,407678,411712,406559,200,212,200,122,120,134,7,11,8,NC
BLAINE COUNTY,NE,460513,426581,408452,116,129,141,80,83,78,6,16,28,NC
BOONE COUNTY,NE,437826,442540,433209,787,936,857,98,80,72,56,79,47,NC
BOX BUTTE COUNTY,NE,649612,638811,632991,516,556,543,199,197,195,29,39,40,NC
BOYD COUNTY,NE,296164,293720,282981,395,443,442,99,91,93,28,39,35,NC
BROWN COUNTY,NE,649634,562857,604195,332,344,353,146,133,148,14,30,30,NC
BUFFALO COUNTY,NE,587595,581861,567657,1097,1175,1191,169,156,138,91,92,81,NC
BURT COUNTY,NE,270005,290941,295510,588,729,733,66,54,58,40,51,41,NC
BUTLER COUNTY,NE,335849,361519,334769,805,961,976,65,56,32,45,67,67,NC
CASS COUNTY,NE,296016,338390,316564,721,913,915,88,91,59,56,72,56,NC
CEDAR COUNTY,NE,428769,419206,421624,1041,1106,1144,84,67,60,93,100,79,NC
CHASE COUNTY,NE,521389,534369,529444,368,468,433,167,182,172,16,41,28,NC
CHERRY COUNTY,NE,3887635,3962751,4023040,676,745,708,439,464,476,56,116,63,NC
CHEYENNE COUNTY,NE,772453,765900,752179,668,740,701,282,283,288,23,32,23,NC
CLAY COUNTY,NE,357067,364702,360351,592,710,664,90,72,77,41,62,50,NC
COLFAX COUNTY,NE,228988,231775,231761,694,778,779,38,30,20,71,76,63,NC
CUMING COUNTY,NE,345739,359241,344839,1079,1185,1250,41,35,23,98,122,109,NC
CUSTER COUNTY,NE,1425338,1488506,1502046,1321,1457,1439,466,492,524,98,118,98,NC
DAKOTA COUNTY,NE,138022,150449,150597,295,345,378,38,33,34,27,35,43,NC
DAWES COUNTY,NE,842110,751313,715361,446,498,452,195,209,210,32,49,44,NC
DAWSON COUNTY,NE,658572,709723,676721,876,974,959,211,237,215,74,108,92,NC
DEUEL COUNTY,NE,265048,268352,307061,244,262,277,100,101,106,7,12,17,NC
DIXON COUNTY,NE,242898,266349,253365,609,704,731,53,50,31,48,57,34,NC
DODGE COUNTY,NE,298854,321996,310513,855,962,977,61,53,38,88,98,75,NC
DOUGLAS COUNTY,NE,96093,120598,119849,388,475,482,24,24,25,62,80,75,NC
DUNDY COUNTY,NE,528731,536373,557748,308,389,382,150,171,178,7,26,17,NC
FILLMORE COUNTY,NE,340471,359590,356257,637,779,765,92,76,70,32,64,38,NC
FRANKLIN COUNTY,NE,323315,354603,321908,444,523,530,113,106,87,28,45,51,NC
FRONTIER COUNTY,NE,526476,537240,506564,419,496,463,199,197,190,17,26,29,NC
FURNAS COUNTY,NE,430972,461029,433715,459,539,520,165,174,163,33,53,40,NC
GA GE COUNTY,NE,508754,530197,516230,1140,1347,1339,127,111,83,78,117,97,NC
GA RDEN COUNTY,NE,1069778,1074776,1039384,297,335,330,147,151,161,14,12,18,NC
GA RFIELD COUNTY,NE,338136,325840,314792,228,248,268,81,84,86,26,30,20,NC
GOSPER COUNTY,NE,229703,255541,247071,282,345,324,80,88,88,26,24,18,NC
GRANT COUNTY,NE,545799,686598,690067,82,92,80,58,60,50,5,14,13,NC
GREELEY COUNTY,NE,304180,309049,300712,394,461,438,95,88,91,28,30,36,NC
HALL COUNTY,NE,316551,306869,304925,744,788,794,66,59,54,71,70,76,NC
HAMILTON COUNTY,NE,321080,340855,336318,664,770,821,60,52,55,60,51,55,NC
HARLAN COUNTY,NE,305724,318942,322720,385,465,453,116,113,107,28,35,29,NC
HAYES COUNTY,NE,401978,403549,416738,273,317,328,120,146,158,15,20,21,NC
HITCHCOCK COUNTY,NE,403584,429342,408346,379,426,443,155,176,167,21,23,32,NC
HOLT COUNTY,NE,1387740,1415617,1347215,1265,1393,1269,418,412,390,84,151,109,NC
HOOKER COUNTY,NE,375188,333291,321904,76,78,59,54,54,43,6,11,8,NC
HOWARD COUNTY,NE,325330,307927,315648,657,696,702,74,68,63,42,50,35,NC
JEFFERSON COUNTY,NE,326831,338329,328321,683,770,747,82,72,69,46,56,44,NC
JOHNSON COUNTY,NE,186806,210371,196412,488,599,566,24,22,16,23,45,33,NC
KEARNEY COUNTY,NE,310042,336275,318782,502,608,581,94,87,81,30,33,33,NC
KEITH COUNTY,NE,668957,666954,630646,348,405,382,132,143,149,27,32,24,NC
KEYA PAHA COUNTY,NE,446007,474848,456566,206,259,269,124,142,144,12,15,26,NC
KIMBALL COUNTY,NE,505150,532932,522423,292,348,344,164,175,179,3,11,11,NC
KNOX COUNTY,NE,612694,614959,641105,1086,1212,1280,156,134,142,69,91,81,NC
LANCASTER COUNTY,NE,414763,448286,449013,1359,1508,1547,99,99,68,125,157,141,NC
LINCOLN COUNTY,NE,1450481,1461882,1473321,1031,1127,1037,346,359,368,72,104,81,NC
LOGAN COUNTY,NE,335820,361679,339160,133,147,152,53,64,58,10,17,12,NC
LOUP COUNTY,NE,330369,293257,287733,134,142,148,70,72,77,8,9,11,NC
MCPHERSON COUNTY,NE,464534,425524,507302,121,146,138,86,90,95,9,19,11,NC
MADISON COUNTY,NE,322120,325985,336242,825,958,991,65,47,48,62,88,84,NC
MERRICK COUNTY,NE,290608,275590,277233,617,664,680,72,56,47,39,53,41,NC
MORRILL COUNTY,NE,724458,724691,743507,458,535,550,156,153,164,28,54,41,NC
NANCE COUNTY,NE,236950,248639,245898,440,508,478,67,71,61,24,52,43,NC
NEMAHA COUNTY,NE,226042,241335,239728,511,591,614,56,55,36,26,28,27,NC
NUCKOLLS COUNTY,NE,333488,336016,347973,541,621,624,97,90,86,29,50,41,NC
OTOE COUNTY,NE,325801,361339,347030,805,1005,957,70,59,44,42,74,46,NC
PAWNEE COUNTY,NE,223949,227694,217922,463,520,531,52,53,45,32,28,22,NC
PERKINS COUNTY,NE,532901,570445,547991,479,591,547,201,224,199,17,28,27,NC
PHELPS COUNTY,NE,375771,371405,384896,578,616,588,117,101,109,28,47,39,NC
PIERCE COUNTY,NE,297326,332862,319619,725,857,865,54,54,42,58,67,48,NC
PLATTE COUNTY,NE,409715,402613,387164,1099,1245,1237,56,46,33,104,138,78,NC
POLK COUNTY,NE,250086,264867,263324,625,736,727,44,42,25,45,62,27,NC
RED WILLOW COUNTY,NE,439475,451724,442051,425,489,474,159,175,165,25,48,31,NC
RICHARDSON COUNTY,NE,301513,310124,291211,712,826,813,75,70,49,36,51,50,NC
ROCK COUNTY,NE,657906,582745,598081,310,313,309,151,167,153,18,33,31,NC
SALINE COUNTY,NE,312079,342898,331520,742,881,905,63,58,38,56,47,39,NC
SARPY COUNTY,NE,105085,110035,117201,362,437,460,16,15,18,27,43,57,NC
